elapsed_time,event_name,name,level,page,room_coor_x,room_coor_y,screen_coor_x,screen_coor_y,hover_duration,text,fqid,room_fqid,text_fqid,fullscreen,hq,music,level_group,session_level
0,cutscene_click,basic,0,,-413.9914052226322,75.6853138297722,380.0,259.0,,undefined,intro,tunic.historicalsociety.closet,tunic.historicalsociety.closet.intro,0,0,1,0-4,0
1965,person_click,basic,0,,-105.99140522263215,-63.31468617022782,688.0,398.0,,"Whatcha doing over there, Jo?",gramps,tunic.historicalsociety.closet,tunic.historicalsociety.closet.gramps.intro_0_cs_0,0,0,1,0-4,0
3614,person_click,basic,0,,-418.9914052226322,47.68531382977217,375.0,287.0,,Just talking to Teddy.,gramps,tunic.historicalsociety.closet,tunic.historicalsociety.closet.gramps.intro_0_cs_0,0,0,1,0-4,0
5330,person_click,basic,0,,-110.99140522263218,-57.31468617022785,683.0,392.0,,I gotta run to my meeting!,gramps,tunic.historicalsociety.closet,tunic.historicalsociety.closet.gramps.intro_0_cs_0,0,0,1,0-4,0
6397,person_click,basic,0,,-110.99140522263218,-57.31468617022785,683.0,392.0,,"Can I come, Gramps?",gramps,tunic.historicalsociety.closet,tunic.historicalsociety.closet.gramps.intro_0_cs_0,0,0,1,0-4,0
8864,person_click,basic,0,,-110.99140522263218,-57.31468617022785,683.0,392.0,,"Sure thing, Jo. Grab your notebook and come upstairs!",gramps,tunic.historicalsociety.closet,tunic.historicalsociety.closet.gramps.intro_0_cs_0,0,0,1,0-4,0
11697,person_click,basic,0,,571.276981998838,-107.17571447457637,683.0,392.0,,"See you later, Teddy.",teddy,tunic.historicalsociety.closet,tunic.historicalsociety.closet.teddy.intro_0_cs_0,0,0,1,0-4,0
12898,person_click,basic,0,,578.2429872763329,-107.68479886543304,683.0,392.0,,I get to go to Gramps's meeting!,teddy,tunic.historicalsociety.closet,tunic.historicalsociety.closet.teddy.intro_0_cs_0,0,0,1,0-4,0
13847,person_click,basic,0,,578.9636848751824,-107.73746834865716,683.0,392.0,,Now where did I put my notebook?,teddy,tunic.historicalsociety.closet,tunic.historicalsociety.closet.teddy.intro_0_cs_0,0,0,1,0-4,0
16847,person_click,basic,0,,534.1171843228348,-92.74868628055523,638.0,377.0,,\u00f0\u0178\u02dc\u00b4,teddy,tunic.historicalsociety.closet,tunic.historicalsociety.closet.teddy.intro_0_cs_0,0,0,1,0-4,0
17780,navigate_click,undefined,0,,534.1177123473617,-92.74872486924905,638.0,377.0,,,photo,tunic.historicalsociety.closet,,0,0,1,0-4,0
18781,observation_click,basic,0,,510.88471027587167,-88.609503420557,638.0,377.0,,I love these photos of me and Teddy!,photo,tunic.historicalsociety.closet,tunic.historicalsociety.closet.photo,0,0,1,0-4,0
19980,navigate_click,undefined,0,,506.3468963606781,-87.8278701704662,638.0,377.0,,,photo,tunic.historicalsociety.closet,,0,0,1,0-4,0
21402,observation_click,basic,0,,505.86558619637634,-87.74496504587191,638.0,377.0,,I love these photos of me and Teddy!,photo,tunic.historicalsociety.closet,tunic.historicalsociety.closet.photo,0,0,1,0-4,0
23230,navigate_click,undefined,0,,173.79758525808498,-184.7332519621273,306.0,474.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4,0
24396,navigate_click,undefined,0,,-91.35459626385664,-214.5730474957053,165.0,502.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4,0
25230,navigate_click,undefined,0,,-234.64804292856823,-164.00896788474037,170.0,447.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4,0
26748,navigate_click,undefined,0,,-186.81338341256057,-136.27886302629716,438.0,427.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4,0
27747,navigate_click,undefined,0,,-134.48967965006278,-141.86639863023447,473.0,438.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4,0
28946,navigate_click,undefined,0,,-383.2877806365772,-120.93583810576746,181.0,417.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4,0
30014,navigate_click,undefined,0,,-564.3937860868377,-115.00309832204437,141.0,415.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4,0
31047,navigate_click,undefined,0,,-801.6590482365721,-129.26060217537486,49.0,431.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4,0
